Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount
Rafaelita Blaksland,UK,99% Dark & Pure,20-08-2022,"$1,843",40,"1,843"
Brien Boise,New Zealand,Drinking Coco,20-08-2022,"$4,593",287,"4,593"
Jehu Rudeforth,Australia,After Nines,21-08-2022,"$5,250.00",47,"5,250.00"
Kelci Walkden,Canada,Peanut Butter Cubes,21-08-2022,"$7,532.00",44,"7,532.00"
Husein Augar,India,Peanut Butter Cubes,21-08-2022,"$5,188.18",5,"5,188.18"
Dotty Strutley,Australia,Choco Coated Almonds,21-08-2022,"$4,722",369,"4,722"
Ches Bonnell,India,Smooth Sliky Salty,21-08-2022,"$9,038",18,"9,038"
Ches Bonnell,India,Choco Coated Almonds,21-08-2022,"$6,796",195,"6,796"
Beverie Moffet,USA,70% Dark Bites,21-08-2022,"$3,367",25,"3,367"
Gunar Cockshoot,New Zealand,Spicy Special Slims,23-08-2022,"$7,265.05",194,"7,265.05"
Mallorie Waber,Canada,Choco Coated Almonds,23-08-2022,"$5,345.58",250,"5,345.58"
Camilla Castle,Australia,99% Dark & Pure,23-08-2022,"$5,346.62",109,"5,346.62"
Andria Kimpton,Australia,85% Dark Bars,23-08-2022,"$4,900.32",254,"4,900.32"
Dennison Crosswaite,Canada,Spicy Special Slims,23-08-2022,"$8,509",15,"8,509"
Husein Augar,India,70% Dark Bites,23-08-2022,"$4,882",132,"4,882"
Van Tuxwell,UK,Drinking Coco,23-08-2022,"$3,479",303,"3,479"
Andria Kimpton,New Zealand,Orange Choco,24-08-2022,"$8,169.00",88,"8,169.00"
Roddy Speechley,India,After Nines,24-08-2022,"$3,015.47",115,"3,015.47"
Van Tuxwell,India,50% Dark Bites,24-08-2022,"$6,483",117,"6,483"
Oby Sorrel,New Zealand,85% Dark Bars,24-08-2022,"$4,183",132,"4,183"
Madelene Upcott,USA,Orange Choco,25-08-2022,"$9,205.15",144,"9,205.15"
Karlen McCaffrey,India,70% Dark Bites,25-08-2022,"$5,915.87",355,"5,915.87"
Karlen McCaffrey,India,Almond Choco,25-08-2022,"$2,036",73,"2,036"
Ches Bonnell,Canada,Eclairs,25-08-2022,"$7,439",88,"7,439"
Barr Faughny,New Zealand,85% Dark Bars,25-08-2022,"$8,672",4,"8,672"
Brien Boise,New Zealand,Manuka Honey Choco,25-08-2022,"$9,325",78,"9,325"
Dennison Crosswaite,USA,Drinking Coco,26-08-2022,"$2,369.87",139,"2,369.87"
Gigi Bohling,Australia,White Choc,26-08-2022,"$5,805.24",83,"5,805.24"
Van Tuxwell,UK,Eclairs,26-08-2022,"$5,856.52",115,"5,856.52"
Dotty Strutley,USA,Raspberry Choco,26-08-2022,"$3,762.58",49,"3,762.58"
Kelci Walkden,India,Caramel Stuffed Bars,26-08-2022,$513.43,131,513.43
Brien Boise,Canada,Raspberry Choco,26-08-2022,"$3,172.23",46,"3,172.23"
Ches Bonnell,New Zealand,Mint Chip Choco,26-08-2022,"$4,501",185,"4,501"
Gigi Bohling,New Zealand,Orange Choco,27-08-2022,"$8,204.00",307,"8,204.00"
Oby Sorrel,UK,Organic Choco Syrup,27-08-2022,"$8,839.72",170,"8,839.72"
Curtice Advani,USA,Drinking Coco,27-08-2022,"$6,170.75",149,"6,170.75"
Jehu Rudeforth,India,99% Dark & Pure,27-08-2022,"$2,207.76",247,"2,207.76"
Camilla Castle,Canada,70% Dark Bites,27-08-2022,"$10,791.08",166,"10,791.08"
Jan Morforth,India,85% Dark Bars,27-08-2022,"$4,007",328,"4,007"
Roddy Speechley,UK,Baker's Choco Chips,27-08-2022,"$5,202",124,"5,202"
Brien Boise,New Zealand,70% Dark Bites,27-08-2022,"$3,043",7,"3,043"
Dennison Crosswaite,Canada,Eclairs,27-08-2022,"$1,293",117,"1,293"
Madelene Upcott,India,Choco Coated Almonds,28-08-2022,"$3,500.00",145,"3,500.00"
Kelci Walkden,Canada,Milk Bars,28-08-2022,"$16,016.00",28,"16,016.00"
Kelci Walkden,India,70% Dark Bites,28-08-2022,"$3,878.60",108,"3,878.60"
Kaine Padly,Canada,99% Dark & Pure,28-08-2022,"$1,420.22",422,"1,420.22"
Curtice Advani,UK,85% Dark Bars,28-08-2022,"$2,923",159,"2,923"
Curtice Advani,Australia,Almond Choco,28-08-2022,"$4,216",352,"4,216"
Beverie Moffet,India,Milk Bars,28-08-2022,"$4,658",80,"4,658"
Jan Morforth,India,Eclairs,28-08-2022,"$6,477",248,"6,477"
Curtice Advani,USA,After Nines,28-08-2022,"$6,123",327,"6,123"
Madelene Upcott,USA,Eclairs,29-08-2022,"$8,883.00",200,"8,883.00"
Madelene Upcott,Canada,Choco Coated Almonds,29-08-2022,"$3,458.00",294,"3,458.00"
Gigi Bohling,New Zealand,Fruit & Nut Bars,29-08-2022,"$11,226.50",118,"11,226.50"
Andria Kimpton,Canada,70% Dark Bites,29-08-2022,"$10,964.29",16,"10,964.29"
Rafaelita Blaksland,UK,Eclairs,29-08-2022,"$5,566",150,"5,566"
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,29-08-2022,"$7,302",384,"7,302"
Madelene Upcott,UK,Organic Choco Syrup,29-08-2022,"$1,134",255,"1,134"
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,29-08-2022,"$1,689",368,"1,689"
Jan Morforth,India,Smooth Sliky Salty,30-08-2022,"$11,298.00",89,"11,298.00"
Gigi Bohling,Australia,Caramel Stuffed Bars,30-08-2022,"$8,724.40",147,"8,724.40"
Karlen McCaffrey,India,White Choc,30-08-2022,"$8,265.32",251,"8,265.32"
Gunar Cockshoot,Canada,Almond Choco,30-08-2022,$566,154,566
Jan Morforth,UK,Almond Choco,30-08-2022,"$1,297",45,"1,297"
Van Tuxwell,UK,Almond Choco,31-08-2022,"$10,689.00",204,"10,689.00"
Kelci Walkden,India,Raspberry Choco,31-08-2022,"$8,183.00",254,"8,183.00"
Dotty Strutley,USA,Fruit & Nut Bars,31-08-2022,"$3,315.64",268,"3,315.64"
Mallorie Waber,Canada,Caramel Stuffed Bars,31-08-2022,"$5,625",322,"5,625"
Camilla Castle,Australia,85% Dark Bars,31-08-2022,"$4,206",66,"4,206"
Brien Boise,India,70% Dark Bites,31-08-2022,"$2,000",136,"2,000"
Roddy Speechley,India,Smooth Sliky Salty,01-09-2022,"$5,103.00",140,"5,103.00"
Wilone O'Kielt,USA,Choco Coated Almonds,01-09-2022,"$9,950.14",6,"9,950.14"
Gigi Bohling,Canada,Fruit & Nut Bars,01-09-2022,"$6,633.23",103,"6,633.23"
Kelci Walkden,UK,99% Dark & Pure,01-09-2022,"$3,927.83",123,"3,927.83"
Madelene Upcott,Canada,Almond Choco,01-09-2022,"$8,282.93",107,"8,282.93"
Gigi Bohling,India,Raspberry Choco,01-09-2022,"$5,681",47,"5,681"
Kelci Walkden,India,Eclairs,01-09-2022,"$9,081",351,"9,081"
Rafaelita Blaksland,India,After Nines,01-09-2022,"$5,698",135,"5,698"
Roddy Speechley,New Zealand,Milk Bars,02-09-2022,"$5,446.00",116,"5,446.00"
Oby Sorrel,India,Raspberry Choco,02-09-2022,"$6,826.32",44,"6,826.32"
Dotty Strutley,New Zealand,Orange Choco,02-09-2022,"$2,283.39",155,"2,283.39"
Oby Sorrel,India,85% Dark Bars,02-09-2022,"$4,594",182,"4,594"
Dennison Crosswaite,India,Mint Chip Choco,02-09-2022,"$7,760",355,"7,760"
Rafaelita Blaksland,UK,Spicy Special Slims,02-09-2022,"$9,674",231,"9,674"
Beverie Moffet,India,Organic Choco Syrup,03-09-2022,"$1,123.57",19,"1,123.57"
Van Tuxwell,India,White Choc,03-09-2022,"$1,228",95,"1,228"
Jan Morforth,India,Eclairs,04-09-2022,"$2,541.00",27,"2,541.00"
Camilla Castle,UK,Mint Chip Choco,04-09-2022,"$4,977.00",317,"4,977.00"
Andria Kimpton,USA,Fruit & Nut Bars,04-09-2022,"$1,456.00",359,"1,456.00"
Wilone O'Kielt,Australia,Caramel Stuffed Bars,04-09-2022,"$5,294",384,"5,294"
Madelene Upcott,India,Mint Chip Choco,04-09-2022,"$4,429",55,"4,429"
Roddy Speechley,Canada,Eclairs,04-09-2022,"$3,287",257,"3,287"
Dotty Strutley,Australia,Baker's Choco Chips,05-09-2022,"$3,605.00",68,"3,605.00"
Gigi Bohling,India,White Choc,05-09-2022,"$1,484.67",180,"1,484.67"
Ches Bonnell,USA,Organic Choco Syrup,05-09-2022,"$7,874.15",13,"7,874.15"
Brien Boise,UK,Almond Choco,05-09-2022,"$8,579",178,"8,579"
Dennison Crosswaite,USA,Baker's Choco Chips,05-09-2022,"$5,327",394,"5,327"
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,06-09-2022,"$9,205.00",419,"9,205.00"
Jan Morforth,UK,Baker's Choco Chips,06-09-2022,$783.35,273,783.35
Mallorie Waber,USA,Manuka Honey Choco,06-09-2022,"$7,403",256,"7,403"
Jehu Rudeforth,UK,Milk Bars,06-09-2022,"$8,258",265,"8,258"
Jehu Rudeforth,USA,Orange Choco,06-09-2022,$824,127,824
Ches Bonnell,UK,Smooth Sliky Salty,07-09-2022,"$5,828.22",121,"5,828.22"
Brien Boise,Australia,Organic Choco Syrup,07-09-2022,"$4,768.88",281,"4,768.88"
Camilla Castle,New Zealand,Peanut Butter Cubes,07-09-2022,"$3,638",257,"3,638"
Marney O'Breen,India,Eclairs,08-09-2022,"$3,472.00",96,"3,472.00"
Kaine Padly,USA,Milk Bars,08-09-2022,"$16,253.25",58,"16,253.25"
Dennison Crosswaite,Australia,Organic Choco Syrup,09-09-2022,"$5,775.00",41,"5,775.00"
Ches Bonnell,USA,70% Dark Bites,09-09-2022,"$5,977",124,"5,977"
Dennison Crosswaite,USA,Drinking Coco,10-09-2022,"$2,399.02",149,"2,399.02"
Oby Sorrel,USA,Manuka Honey Choco,10-09-2022,"$5,764",140,"5,764"
Beverie Moffet,UK,99% Dark & Pure,10-09-2022,"$9,809",133,"9,809"
Brien Boise,India,Smooth Sliky Salty,11-09-2022,"$5,964.00",26,"5,964.00"
Curtice Advani,India,Spicy Special Slims,11-09-2022,$161.00,134,161
Curtice Advani,Canada,Spicy Special Slims,11-09-2022,$933.45,122,933.45
Gigi Bohling,Canada,Baker's Choco Chips,11-09-2022,"$6,973",374,"6,973"
Marney O'Breen,USA,Peanut Butter Cubes,11-09-2022,"$1,091",26,"1,091"
Curtice Advani,India,Spicy Special Slims,11-09-2022,"$1,176",394,"1,176"
Marney O'Breen,New Zealand,Organic Choco Syrup,12-09-2022,"$10,337.23",49,"10,337.23"
Marney O'Breen,New Zealand,85% Dark Bars,12-09-2022,"$2,047",352,"2,047"
Van Tuxwell,UK,Organic Choco Syrup,13-09-2022,"$2,002.00",214,"2,002.00"
Beverie Moffet,India,Choco Coated Almonds,13-09-2022,"$3,818.21",287,"3,818.21"
Jan Morforth,Australia,White Choc,13-09-2022,"$3,958.57",33,"3,958.57"
Van Tuxwell,UK,99% Dark & Pure,13-09-2022,"$5,283.91",136,"5,283.91"
Mallorie Waber,Australia,Smooth Sliky Salty,13-09-2022,"$4,786.05",107,"4,786.05"
Gunar Cockshoot,India,Baker's Choco Chips,13-09-2022,"$2,432.75",535,"2,432.75"
Rafaelita Blaksland,Australia,Raspberry Choco,13-09-2022,"$5,213",251,"5,213"
Gigi Bohling,Australia,Caramel Stuffed Bars,13-09-2022,"$2,154",275,"2,154"
Wilone O'Kielt,Australia,Manuka Honey Choco,13-09-2022,"$1,247",284,"1,247"
Husein Augar,USA,Milk Bars,13-09-2022,"$8,392",64,"8,392"
Ches Bonnell,New Zealand,After Nines,13-09-2022,"$6,618",327,"6,618"
Oby Sorrel,New Zealand,85% Dark Bars,14-09-2022,"$3,381.00",417,"3,381.00"
Dennison Crosswaite,Canada,85% Dark Bars,14-09-2022,"$10,885.00",90,"10,885.00"
Beverie Moffet,Australia,Baker's Choco Chips,14-09-2022,"$3,340",123,"3,340"
Karlen McCaffrey,New Zealand,Baker's Choco Chips,14-09-2022,"$9,896",281,"9,896"
Brien Boise,Canada,Spicy Special Slims,15-09-2022,"$8,929.88",100,"8,929.88"
Wilone O'Kielt,USA,Milk Bars,15-09-2022,"$5,332.79",101,"5,332.79"
Kelci Walkden,Canada,Baker's Choco Chips,15-09-2022,"$3,745",370,"3,745"
Kaine Padly,Canada,Choco Coated Almonds,15-09-2022,"$1,208",78,"1,208"
Husein Augar,Australia,Organic Choco Syrup,16-09-2022,$960.69,155,960.69
Curtice Advani,India,White Choc,16-09-2022,"$1,476",351,"1,476"
Gigi Bohling,Australia,Orange Choco,16-09-2022,"$5,254",337,"5,254"
Barr Faughny,New Zealand,99% Dark & Pure,16-09-2022,$690,81,690
Dotty Strutley,Australia,Almond Choco,17-09-2022,"$1,456.00",91,"1,456.00"
Rafaelita Blaksland,India,Smooth Sliky Salty,17-09-2022,"$1,871.33",88,"1,871.33"
Gigi Bohling,Australia,70% Dark Bites,17-09-2022,"$1,548.54",104,"1,548.54"
Jan Morforth,New Zealand,Manuka Honey Choco,18-09-2022,"$1,589.00",271,"1,589.00"
Karlen McCaffrey,India,Manuka Honey Choco,18-09-2022,"$2,487.19",583,"2,487.19"
Roddy Speechley,India,Drinking Coco,18-09-2022,"$5,590",117,"5,590"
Gunar Cockshoot,Australia,Drinking Coco,19-09-2022,"$2,317.00",195,"2,317.00"
Kaine Padly,Canada,Choco Coated Almonds,19-09-2022,"$3,164.00",164,"3,164.00"
Oby Sorrel,India,Drinking Coco,19-09-2022,"$18,220.59",139,"18,220.59"
Wilone O'Kielt,USA,Smooth Sliky Salty,19-09-2022,$542.39,86,542.39
Rafaelita Blaksland,USA,Smooth Sliky Salty,19-09-2022,"$6,242",7,"6,242"
Van Tuxwell,New Zealand,Mint Chip Choco,19-09-2022,"$1,196",174,"1,196"
Gigi Bohling,USA,Spicy Special Slims,19-09-2022,"$4,207",358,"4,207"
Husein Augar,New Zealand,Peanut Butter Cubes,20-09-2022,"$2,058.00",236,"2,058.00"
Madelene Upcott,New Zealand,Peanut Butter Cubes,20-09-2022,"$5,360.89",340,"5,360.89"
Brien Boise,Canada,Almond Choco,20-09-2022,"$5,026.81",123,"5,026.81"
Beverie Moffet,UK,50% Dark Bites,20-09-2022,"$2,922.18",289,"2,922.18"
Madelene Upcott,UK,Choco Coated Almonds,20-09-2022,"$11,786.42",147,"11,786.42"
Brien Boise,India,70% Dark Bites,22-09-2022,"$5,071.49",439,"5,071.49"
Andria Kimpton,Australia,Baker's Choco Chips,22-09-2022,$344.82,118,344.82
Camilla Castle,USA,85% Dark Bars,22-09-2022,"$8,641",266,"8,641"
Wilone O'Kielt,USA,After Nines,22-09-2022,$546,46,546
Beverie Moffet,India,Almond Choco,23-09-2022,"$6,574",164,"6,574"
Marney O'Breen,USA,Peanut Butter Cubes,24-09-2022,$693.00,350,693
Jehu Rudeforth,UK,Smooth Sliky Salty,24-09-2022,"$1,463.00",113,"1,463.00"
Brien Boise,Australia,Peanut Butter Cubes,24-09-2022,"$2,516",225,"2,516"
Jan Morforth,India,85% Dark Bars,24-09-2022,"$5,996",268,"5,996"
Barr Faughny,UK,Milk Bars,25-09-2022,"$4,012.51",409,"4,012.51"
Brien Boise,Australia,99% Dark & Pure,25-09-2022,"$1,917",337,"1,917"
Brien Boise,New Zealand,White Choc,26-09-2022,"$2,575",14,"2,575"
Ches Bonnell,USA,Choco Coated Almonds,26-09-2022,"$3,480",192,"3,480"
Camilla Castle,New Zealand,Peanut Butter Cubes,27-09-2022,"$1,582.00",62,"1,582.00"
Jehu Rudeforth,India,50% Dark Bites,27-09-2022,"$3,470.60",129,"3,470.60"
Kaine Padly,New Zealand,Eclairs,28-09-2022,"$12,894.00",48,"12,894.00"
Oby Sorrel,UK,Raspberry Choco,28-09-2022,"$4,599.00",323,"4,599.00"
Ches Bonnell,Canada,Eclairs,28-09-2022,"$2,106.17",172,"2,106.17"
Barr Faughny,Canada,50% Dark Bites,28-09-2022,"$10,275.55",301,"10,275.55"
Beverie Moffet,New Zealand,Mint Chip Choco,28-09-2022,"$4,994.93",98,"4,994.93"
Brien Boise,Australia,Eclairs,28-09-2022,"$8,222.65",92,"8,222.65"
Husein Augar,India,Orange Choco,28-09-2022,"$4,781.14",38,"4,781.14"
Beverie Moffet,India,Choco Coated Almonds,28-09-2022,"$2,401",273,"2,401"
Jehu Rudeforth,USA,Raspberry Choco,28-09-2022,"$1,453",215,"1,453"
Brien Boise,India,85% Dark Bars,28-09-2022,"$2,339",108,"2,339"
Gunar Cockshoot,Australia,Drinking Coco,29-09-2022,"$2,342.49",192,"2,342.49"
Oby Sorrel,UK,Choco Coated Almonds,29-09-2022,"$10,370.44",44,"10,370.44"
Mallorie Waber,Australia,Smooth Sliky Salty,29-09-2022,$489,22,489
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,29-09-2022,"$3,054",38,"3,054"
Jehu Rudeforth,Australia,Orange Choco,30-09-2022,"$14,529.20",26,"14,529.20"
Oby Sorrel,Canada,Peanut Butter Cubes,30-09-2022,"$14,291.30",179,"14,291.30"
Barr Faughny,UK,Raspberry Choco,30-09-2022,"$7,753",279,"7,753"
Van Tuxwell,UK,99% Dark & Pure,30-09-2022,"$5,543",73,"5,543"
Gigi Bohling,New Zealand,Manuka Honey Choco,30-09-2022,"$4,652",54,"4,652"
Van Tuxwell,Canada,Drinking Coco,01-10-2022,"$4,900.00",709,"4,900.00"
Ches Bonnell,Australia,White Choc,01-10-2022,"$1,177.64",206,"1,177.64"
Madelene Upcott,USA,After Nines,01-10-2022,"$8,106",236,"8,106"
Karlen McCaffrey,New Zealand,Eclairs,01-10-2022,"$9,436",201,"9,436"
Marney O'Breen,USA,Raspberry Choco,02-10-2022,"$6,069.00",151,"6,069.00"
Mallorie Waber,Australia,Smooth Sliky Salty,02-10-2022,"$4,454.71",117,"4,454.71"
Dotty Strutley,Australia,Drinking Coco,02-10-2022,$105.06,140,105.06
Camilla Castle,India,Drinking Coco,02-10-2022,$503.52,167,503.52
Dennison Crosswaite,New Zealand,Mint Chip Choco,02-10-2022,"$8,077",65,"8,077"
Oby Sorrel,Australia,Almond Choco,02-10-2022,"$5,615",186,"5,615"
Jehu Rudeforth,New Zealand,After Nines,03-10-2022,"$1,512.00",73,"1,512.00"
Wilone O'Kielt,Australia,50% Dark Bites,03-10-2022,"$10,031.00",114,"10,031.00"
Karlen McCaffrey,New Zealand,70% Dark Bites,03-10-2022,$141.23,38,141.23
Brien Boise,India,Milk Bars,03-10-2022,$214,162,214
Oby Sorrel,India,Drinking Coco,04-10-2022,"$16,380.00",130,"16,380.00"
Andria Kimpton,USA,Spicy Special Slims,04-10-2022,"$2,553.46",5,"2,553.46"
Kaine Padly,UK,Caramel Stuffed Bars,04-10-2022,"$11,334.21",72,"11,334.21"
Ches Bonnell,UK,Peanut Butter Cubes,05-10-2022,"$2,156.00",260,"2,156.00"
Mallorie Waber,New Zealand,After Nines,05-10-2022,$501.79,241,501.79
Husein Augar,Australia,Eclairs,05-10-2022,"$7,299.40",34,"7,299.40"
Kelci Walkden,USA,Almond Choco,05-10-2022,"$6,051",330,"6,051"
Ches Bonnell,UK,White Choc,05-10-2022,"$3,017",320,"3,017"
Dennison Crosswaite,Australia,Baker's Choco Chips,05-10-2022,$849,228,849
Jehu Rudeforth,USA,White Choc,05-10-2022,$412,278,412
Brien Boise,Canada,99% Dark & Pure,06-10-2022,"$5,676",134,"5,676"
Beverie Moffet,Australia,Eclairs,07-10-2022,"$1,835.42",6,"1,835.42"
Kelci Walkden,India,Orange Choco,07-10-2022,"$6,779",391,"6,779"
Van Tuxwell,USA,After Nines,08-10-2022,$630.00,264,630
Husein Augar,UK,Caramel Stuffed Bars,08-10-2022,"$17,059.69",456,"17,059.69"
Brien Boise,UK,White Choc,08-10-2022,"$5,799.09",169,"5,799.09"
Ches Bonnell,UK,Orange Choco,08-10-2022,"$15,365.78",57,"15,365.78"
Andria Kimpton,Australia,85% Dark Bars,09-10-2022,"$4,186.00",233,"4,186.00"
Beverie Moffet,Australia,White Choc,09-10-2022,"$2,659.78",178,"2,659.78"
Kelci Walkden,Australia,99% Dark & Pure,09-10-2022,"$9,262",162,"9,262"
Beverie Moffet,India,White Choc,09-10-2022,$681,263,681
Dennison Crosswaite,Canada,Spicy Special Slims,09-10-2022,$113,234,113
Barr Faughny,New Zealand,Mint Chip Choco,09-10-2022,"$1,635",116,"1,635"
Roddy Speechley,New Zealand,Orange Choco,10-10-2022,"$7,686",246,"7,686"
Jehu Rudeforth,India,Baker's Choco Chips,11-10-2022,"$2,261.98",73,"2,261.98"
Jehu Rudeforth,USA,Orange Choco,11-10-2022,$391.33,184,391.33
Madelene Upcott,Canada,Almond Choco,11-10-2022,"$9,450",231,"9,450"
Marney O'Breen,UK,99% Dark & Pure,12-10-2022,"$8,113.00",194,"8,113.00"
Roddy Speechley,New Zealand,Orange Choco,12-10-2022,$49.00,97,49
Rafaelita Blaksland,UK,50% Dark Bites,12-10-2022,"$11,099.73",73,"11,099.73"
Brien Boise,Australia,Eclairs,12-10-2022,"$7,484.07",94,"7,484.07"
Husein Augar,Australia,Manuka Honey Choco,12-10-2022,"$7,824.91",100,"7,824.91"
Beverie Moffet,Canada,Drinking Coco,12-10-2022,"$1,172.53",124,"1,172.53"
Marney O'Breen,India,Peanut Butter Cubes,12-10-2022,"$4,573",373,"4,573"
Madelene Upcott,USA,Baker's Choco Chips,13-10-2022,"$5,621.00",140,"5,621.00"
Jehu Rudeforth,New Zealand,50% Dark Bites,13-10-2022,"$4,357.76",63,"4,357.76"
Kelci Walkden,USA,Manuka Honey Choco,13-10-2022,"$7,341",345,"7,341"
Andria Kimpton,New Zealand,50% Dark Bites,13-10-2022,"$3,745",350,"3,745"
Dennison Crosswaite,Australia,Raspberry Choco,14-10-2022,"$5,997.71",31,"5,997.71"
Brien Boise,Australia,Baker's Choco Chips,14-10-2022,"$14,957.65",206,"14,957.65"
Brien Boise,Canada,Spicy Special Slims,14-10-2022,"$8,237",46,"8,237"
Barr Faughny,Australia,Fruit & Nut Bars,14-10-2022,"$8,652",393,"8,652"
Kelci Walkden,Canada,Smooth Sliky Salty,14-10-2022,$648,142,648
Van Tuxwell,Canada,Raspberry Choco,15-10-2022,"$1,497.58",132,"1,497.58"
Madelene Upcott,USA,Choco Coated Almonds,15-10-2022,"$6,560",214,"6,560"
Kaine Padly,USA,Caramel Stuffed Bars,16-10-2022,"$6,318.70",124,"6,318.70"
Jan Morforth,India,Baker's Choco Chips,16-10-2022,"$14,613.52",85,"14,613.52"
Brien Boise,UK,Spicy Special Slims,16-10-2022,"$2,194",148,"2,194"
Kaine Padly,UK,Peanut Butter Cubes,16-10-2022,"$1,043",263,"1,043"
Camilla Castle,Australia,Manuka Honey Choco,17-10-2022,$637.00,169,637
Dennison Crosswaite,New Zealand,Organic Choco Syrup,17-10-2022,$427.36,249,427.36
Brien Boise,New Zealand,Organic Choco Syrup,17-10-2022,"$2,639",147,"2,639"
Barr Faughny,USA,Caramel Stuffed Bars,17-10-2022,"$6,563",155,"6,563"
Jehu Rudeforth,New Zealand,After Nines,17-10-2022,"$5,669",52,"5,669"
Kelci Walkden,Australia,Almond Choco,17-10-2022,"$8,632",226,"8,632"
Gunar Cockshoot,UK,99% Dark & Pure,18-10-2022,$8.16,84,8.16
Dennison Crosswaite,UK,Eclairs,18-10-2022,"$1,932",355,"1,932"
Beverie Moffet,UK,Almond Choco,18-10-2022,"$1,990",218,"1,990"
Kelci Walkden,USA,Orange Choco,18-10-2022,"$4,568",56,"4,568"
Madelene Upcott,Australia,70% Dark Bites,18-10-2022,"$4,734",55,"4,734"
Ches Bonnell,UK,Smooth Sliky Salty,18-10-2022,"$9,966",230,"9,966"
Beverie Moffet,New Zealand,Mint Chip Choco,18-10-2022,"$2,443",144,"2,443"
Brien Boise,India,Spicy Special Slims,18-10-2022,"$3,524",389,"3,524"
Husein Augar,USA,Fruit & Nut Bars,19-10-2022,"$1,288.00",27,"1,288.00"
Wilone O'Kielt,Australia,Smooth Sliky Salty,19-10-2022,"$2,496.06",45,"2,496.06"
Camilla Castle,India,99% Dark & Pure,20-10-2022,$203.00,207,203
Madelene Upcott,Australia,85% Dark Bars,20-10-2022,"$8,869",156,"8,869"
Marney O'Breen,Canada,Spicy Special Slims,20-10-2022,"$2,139",87,"2,139"
Andria Kimpton,Canada,Smooth Sliky Salty,20-10-2022,$319,287,319
Rafaelita Blaksland,UK,99% Dark & Pure,21-10-2022,"$12,446.00",150,"12,446.00"
Wilone O'Kielt,New Zealand,Almond Choco,21-10-2022,$196,208,196
Gigi Bohling,USA,After Nines,22-10-2022,"$1,848.00",227,"1,848.00"
Kelci Walkden,USA,Spicy Special Slims,22-10-2022,"$9,315",41,"9,315"
Madelene Upcott,India,Choco Coated Almonds,22-10-2022,"$6,204",253,"6,204"
Dennison Crosswaite,USA,Caramel Stuffed Bars,22-10-2022,"$4,774",306,"4,774"
Jehu Rudeforth,Canada,Orange Choco,23-10-2022,"$4,229.79",548,"4,229.79"
Kaine Padly,Canada,After Nines,23-10-2022,"$6,233.02",178,"6,233.02"
Curtice Advani,India,White Choc,23-10-2022,"$2,455",159,"2,455"
Mallorie Waber,UK,Drinking Coco,23-10-2022,$837,180,837
Dennison Crosswaite,India,Mint Chip Choco,24-10-2022,"$15,201.56",142,"15,201.56"
Madelene Upcott,New Zealand,Milk Bars,24-10-2022,"$5,215",34,"5,215"
Roddy Speechley,New Zealand,Milk Bars,25-10-2022,"$5,857.90",111,"5,857.90"
Kelci Walkden,USA,99% Dark & Pure,25-10-2022,"$8,250.66",258,"8,250.66"
Dennison Crosswaite,Canada,Mint Chip Choco,25-10-2022,"$1,914.65",304,"1,914.65"
Rafaelita Blaksland,Australia,White Choc,26-10-2022,"$7,467.74",111,"7,467.74"
Brien Boise,UK,Almond Choco,26-10-2022,$115.90,120,115.9
Curtice Advani,UK,85% Dark Bars,26-10-2022,"$1,206.95",174,"1,206.95"
Barr Faughny,UK,White Choc,26-10-2022,"$1,959.22",70,"1,959.22"
Husein Augar,USA,Eclairs,26-10-2022,"$1,754",249,"1,754"
Jehu Rudeforth,Canada,Manuka Honey Choco,26-10-2022,"$1,942",62,"1,942"
Jehu Rudeforth,India,50% Dark Bites,27-10-2022,"$4,055.71",137,"4,055.71"
Kelci Walkden,USA,Manuka Honey Choco,28-10-2022,"$19,995.68",94,"19,995.68"
Oby Sorrel,India,Choco Coated Almonds,28-10-2022,"$4,095",118,"4,095"
Husein Augar,UK,Baker's Choco Chips,29-10-2022,"$3,038.00",135,"3,038.00"
Curtice Advani,USA,Drinking Coco,29-10-2022,"$5,378.09",142,"5,378.09"
Oby Sorrel,Australia,Milk Bars,29-10-2022,"$9,231.31",278,"9,231.31"
Husein Augar,Australia,Orange Choco,29-10-2022,"$10,322.19",182,"10,322.19"
Kelci Walkden,UK,Smooth Sliky Salty,29-10-2022,"$5,896",206,"5,896"
Madelene Upcott,New Zealand,Mint Chip Choco,29-10-2022,"$4,859",110,"4,859"
Dennison Crosswaite,New Zealand,Organic Choco Syrup,29-10-2022,"$1,099",95,"1,099"
Oby Sorrel,New Zealand,85% Dark Bars,30-10-2022,"$4,040.65",423,"4,040.65"
Curtice Advani,Australia,Caramel Stuffed Bars,30-10-2022,"$8,258",173,"8,258"
Brien Boise,Australia,Spicy Special Slims,30-10-2022,$115,362,115
Curtice Advani,Australia,Caramel Stuffed Bars,30-10-2022,"$1,863",51,"1,863"
Dennison Crosswaite,Australia,Drinking Coco,31-10-2022,"$7,497.22",184,"7,497.22"
Barr Faughny,India,After Nines,31-10-2022,"$9,558.06",117,"9,558.06"
Kelci Walkden,New Zealand,Manuka Honey Choco,31-10-2022,"$6,012",29,"6,012"
